,load_kW,pv_kW,wind_kW,ch_kW,dis_kW,grid_import_kW,soc_kWh,spill_kW,ren_potential_kW,ren_used_kW,battery_net_kW
2019-01-06 08:00:00,117.28182759239655,1.3377711249,47.101040909999995,-1.9542893e-23,0.0,68.843015,663.9725,0.0,48.438812034899996,48.438812034899996,1.9542893e-23
2019-01-06 09:00:00,115.06646188822828,6.9531067109,50.77125189,0.0,0.0,57.342103,663.9725,0.0,57.724358600900004,57.724358600900004,0.0
2019-01-06 10:00:00,103.61258703380604,20.930101673699998,51.38295372,0.0,-1.7054992e-07,31.299531,663.9725,0.0,72.3130553937,72.3130553937,-1.7054992e-07
2019-01-06 11:00:00,105.5980124099031,14.6777322187,51.38295372,0.0,0.0,39.537326,663.9725,0.0,66.0606859387,66.0606859387,0.0
2019-01-06 12:00:00,110.63591169334208,12.032861969999999,56.88827019,0.0,0.0,41.714779,663.9725,0.0,68.92113216,68.92113216,0.0
2019-01-06 13:00:00,117.46050464908402,3.2535915012999994,68.51060496,0.0,0.0,45.696308,663.9725,0.0,71.76419646129999,71.76419646129999,0.0
2019-01-06 14:00:00,121.14833821720141,0.094375388,82.57974705000001,0.0,0.0,38.474215,663.9725,0.0,82.67412243800001,82.67412243800001,0.0
2019-01-06 15:00:00,135.8434597492091,0.0,95.42548547999999,9.1876493e-14,0.0,40.417974,663.9725,0.0,95.42548547999999,95.42548547999999,-9.1876493e-14
2019-01-06 16:00:00,194.53656962345505,0.0,98.48399463,0.0,0.0,96.052574,663.9725,0.0,98.48399463,98.48399463,0.0
2019-01-06 17:00:00,270.0224480717407,0.0,96.03718731,0.0,173.98526,0.0,663.9725,0.0,96.03718731,96.03718731,173.98526
2019-01-06 18:00:00,307.34885398294625,0.0,103.98931110000001,0.0,203.35954,0.0,485.46739,0.0,103.98931110000001,103.98931110000001,203.35954
2019-01-06 19:00:00,315.2352023332917,0.0,124.78717331999998,0.0,190.44803,0.0,276.8249,0.0,124.78717331999998,124.78717331999998,190.44803
2019-01-06 20:00:00,310.734474943769,0.0,137.02120992,0.0,79.367513,94.345751,81.42935,0.0,137.02120992,137.02120992,79.367513
2019-01-06 21:00:00,278.46074108266623,0.0,133.35099893999998,0.0,0.0,145.10974,0.0,0.0,133.35099893999998,133.35099893999998,0.0
2019-01-06 22:00:00,229.86982495870706,0.0,117.44675136,0.0,0.0,112.42307,0.0,0.0,117.44675136,117.44675136,0.0
2019-01-06 23:00:00,166.40182903841253,0.0,113.77654038,0.0,0.0,52.625288,0.0,0.0,113.77654038,113.77654038,0.0
2019-01-07 00:00:00,113.61511458969015,0.0,110.71803123,0.0,0.0,2.8970827,0.0,0.0,110.71803123,110.71803123,0.0
2019-01-07 01:00:00,87.02704456151925,0.0,119.28185685,0.0,0.0,0.0,0.0,32.254813,119.28185685,87.02704385,0.0
2019-01-07 02:00:00,76.29186294488969,0.0,122.95206783,0.0,0.0,0.0,0.0,46.660206,122.95206783,76.29186183,0.0
2019-01-07 03:00:00,70.87691916725623,0.0,128.4573843,0.0,0.0,0.0,0.0,57.580466,128.4573843,70.8769183,0.0
2019-01-07 04:00:00,80.02819158646456,0.0,147.42014103,0.0,0.0,0.0,0.0,67.39195,147.42014103,80.02819103,0.0
